time,yt,actualmean,SISRmean,APFmean
0,-2.45199,-1.76812,-1.67665,-1.69218
1,-0.0679678,-0.822784,-0.79322,-0.846476
2,-0.444776,-0.607588,-0.590107,-0.668534
3,1.12707,0.20854,0.195112,0.142594
4,0.384224,0.277369,0.239466,0.338639
5,1.87704,0.983151,0.93637,1.00664
6,2.1473,1.45787,1.4378,1.42134
7,-0.249639,0.617999,0.527883,0.638048
8,1.52787,0.996425,0.973823,0.952537
9,0.850446,0.881436,0.906418,0.858525
10,3.402,1.97091,1.9495,2.01034
11,0.0389109,1.00473,0.971289,0.985742
12,1.36183,1.11549,1.10153,1.17998
13,-2.32904,-0.488287,-0.507699,-0.451458
14,-0.515651,-0.476399,-0.463546,-0.484183
15,-2.76981,-1.48382,-1.37931,-1.43661
16,-0.903143,-1.14926,-1.14141,-1.15675
17,-3.70428,-2.24096,-2.17796,-2.18292
18,1.90414,-0.26648,-0.230077,-0.254884
19,0.306227,0.00418627,0.0470314,-0.0378246
20,-3.62405,-1.62713,-1.53563,-1.59084
21,1.20556,-0.273061,-0.250449,-0.256186
22,3.41896,1.40025,1.38593,1.39303
23,-0.734095,0.371367,0.322507,0.351293
24,0.634418,0.471227,0.42613,0.441045
25,-0.880414,-0.15976,-0.186942,-0.164901
26,-0.259931,-0.196878,-0.198438,-0.231438
27,0.261883,0.0191151,-0.000511186,-0.00901663
28,3.04367,1.37788,1.40592,1.37255
29,4.5415,2.73186,2.71674,2.73135
30,0.307471,1.50662,1.48331,1.47194
31,-0.0176497,0.746732,0.731178,0.687744
32,-1.33834,-0.227623,-0.201239,-0.217528
33,-1.06392,-0.592311,-0.627924,-0.644281
34,-0.866322,-0.686152,-0.707464,-0.664967
35,-1.7973,-1.15168,-1.18483,-1.1686
36,-4.43445,-2.57043,-2.53125,-2.56715
37,-2.83242,-2.56087,-2.53502,-2.55041
38,-3.41712,-2.81894,-2.78783,-2.77847
39,0.384606,-1.23911,-1.19322,-1.16995
40,-0.790463,-0.976031,-0.961467,-0.98212
41,-1.52421,-1.17412,-1.20525,-1.17944
42,1.61753,0.139056,0.0834873,0.116087
43,0.77379,0.417517,0.360139,0.424989
44,3.91966,1.97125,1.90472,1.93635
45,1.42801,1.62938,1.56404,1.60279
46,1.96888,1.70128,1.59955,1.63397
47,3.00823,2.20455,2.13185,2.12341
48,2.56444,2.25713,2.25412,2.22523
49,-1.83198,0.307018,0.412639,0.253172
50,-2.03405,-0.760639,-0.683745,-0.695286
51,-3.64958,-2.02171,-1.90057,-1.89964
52,-5.07754,-3.29533,-3.25011,-3.31786
53,-4.25831,-3.565,-3.5448,-3.65702
54,-3.95703,-3.56463,-3.54753,-3.64407
55,-3.93253,-3.55343,-3.54667,-3.60156
56,-1.60527,-2.50158,-2.52393,-2.51646
57,-1.4309,-1.89632,-1.88025,-1.92288
58,0.108146,-0.901252,-0.857167,-0.971644
59,-1.68185,-1.20753,-1.12501,-1.29487
60,-0.513111,-0.835527,-0.824471,-0.818192
61,-0.450869,-0.621209,-0.662147,-0.627418
62,0.754142,0.0278665,0.00964146,0.027671
63,-4.20021,-1.87428,-1.89726,-1.93492
64,-0.894197,-1.34083,-1.34372,-1.37618
65,-5.33078,-3.06812,-3.158,-3.11946
66,-3.87885,-3.2806,-3.39727,-3.36106
67,-3.13497,-3.05261,-3.15475,-3.09295
68,-0.703955,-1.84553,-1.93146,-1.91177
69,-6.13935,-3.68442,-3.64309,-3.68661
70,-5.62638,-4.37492,-4.27079,-4.32113
71,-4.88237,-4.38632,-4.34154,-4.41492
72,-4.05295,-4.01915,-3.95908,-4.08177
73,-8.74701,-5.94549,-6.01597,-6.02
74,-2.52278,-4.11225,-4.12942,-4.14878
75,-2.79812,-3.31775,-3.36983,-3.2902
76,-3.38257,-3.18253,-3.18005,-3.1972
77,-2.27547,-2.61709,-2.66018,-2.64385
78,-0.716568,-1.63304,-1.64428,-1.6123
79,-1.57986,-1.52823,-1.50544,-1.51008
80,1.99018,0.129208,0.257115,0.0622704
81,-2.40081,-1.01458,-0.983581,-1.00095
82,-0.536323,-0.749315,-0.710409,-0.736338
83,-1.54353,-1.06924,-1.05312,-1.11376
84,-0.773679,-0.883399,-0.858435,-0.902556
85,-2.7322,-1.67078,-1.60872,-1.65139
86,-0.424086,-1.02755,-0.91782,-0.97912
87,1.68422,0.242453,0.319958,0.195915
88,-2.73738,-1.10917,-1.10289,-1.11986
89,2.18662,0.427432,0.453587,0.358831
90,1.13421,0.723996,0.729133,0.694122
91,2.78419,1.61431,1.59391,1.66671
92,2.08254,1.74483,1.66757,1.78335
93,0.327911,1.0214,0.968205,0.9841
94,0.822377,0.88133,0.866979,0.8335
95,3.70686,2.10791,2.06611,2.07257
96,3.09781,2.4485,2.39885,2.43147
97,0.165616,1.30091,1.25055,1.31412
98,2.56997,1.80698,1.76851,1.79436
99,-0.492935,0.683516,0.683651,0.632338
100,-1.42295,-0.297325,-0.284257,-0.323136
101,-2.14037,-1.11115,-1.11251,-1.14386
102,-1.40885,-1.18994,-1.16625,-1.16299
103,-2.25987,-1.61199,-1.54857,-1.60465
104,-0.867437,-1.19741,-1.12767,-1.11013
105,-1.62829,-1.3318,-1.26472,-1.30962
106,-0.615504,-0.943804,-0.960649,-0.903145
107,1.15328,0.045715,0.0767415,0.110926
108,-0.478711,-0.19231,-0.193678,-0.199567
109,0.453975,0.10776,0.125322,0.132615
110,0.953309,0.482546,0.521346,0.470768
111,2.80574,1.50305,1.50308,1.50237
112,0.735346,1.08346,1.05619,1.10071
113,-3.81868,-1.17401,-1.13993,-1.12091
114,-2.58066,-1.74822,-1.73897,-1.68916
115,0.228553,-0.772938,-0.814096,-0.77518
116,0.981763,0.0541941,0.0357356,0.0476263
117,-0.804519,-0.334532,-0.327576,-0.338343
118,3.01344,1.18715,1.30793,1.23022
119,-0.00718686,0.591413,0.72084,0.570841
120,-0.886688,-0.102378,-0.0022493,-0.113288
121,0.756095,0.288628,0.265866,0.336419
122,-1.1749,-0.383614,-0.39062,-0.337773
123,-0.86952,-0.583053,-0.510426,-0.579576
124,-0.266973,-0.412072,-0.371029,-0.406021
125,1.94616,0.668504,0.65076,0.697473
126,-0.857859,-0.0508035,-0.0536825,-0.0787451
127,-2.1155,-0.976488,-0.963689,-0.932153
128,-1.05931,-0.965348,-0.972836,-0.974543
129,2.06237,0.443611,0.450166,0.501939
130,3.26611,1.69051,1.74049,1.78631
131,3.73749,2.527,2.61111,2.56012
132,-0.759882,0.924168,1.01073,0.922905
133,-1.19884,-0.0760327,-0.0348769,-0.0755047
134,-2.78432,-1.2898,-1.22274,-1.308
135,0.588588,-0.381458,-0.387013,-0.408711
136,-0.154472,-0.260517,-0.268652,-0.278977
137,-0.282997,-0.257717,-0.304241,-0.226562
138,-1.11927,-0.632269,-0.653035,-0.593686
139,1.49504,0.355404,0.359173,0.359496
140,1.66795,0.927864,0.915577,0.970816
141,1.05882,0.940771,0.997377,0.924731
142,-0.145355,0.405888,0.426155,0.391214
143,1.44965,0.855011,0.84017,0.858776
144,-3.06576,-0.94996,-0.983217,-0.963458
145,-0.479121,-0.69123,-0.765035,-0.626
146,-3.65789,-1.99067,-1.98288,-1.90547
147,-3.55777,-2.59656,-2.53077,-2.57006
148,-1.86738,-2.14012,-2.13698,-2.11455
149,-1.26511,-1.64073,-1.63118,-1.59873
150,-3.06522,-2.19984,-2.17493,-2.21488
151,-5.08284,-3.38694,-3.37143,-3.3575
152,-1.35924,-2.30758,-2.38056,-2.42664
153,-1.95417,-2.03438,-2.0715,-2.09561
154,-3.68406,-2.67523,-2.70239,-2.69674
155,-3.09551,-2.73164,-2.75229,-2.76028
156,-5.13186,-3.67535,-3.57091,-3.63038
157,-4.96398,-4.07259,-3.98123,-4.03484
158,-0.708164,-2.35833,-2.32946,-2.344
159,-2.58504,-2.34342,-2.39833,-2.35508
160,-0.959025,-1.60496,-1.63843,-1.65946
161,2.31412,0.236408,0.174829,0.264603
162,2.77304,1.36506,1.28014,1.3316
163,1.82515,1.50427,1.43557,1.4592
164,-1.96294,-0.128962,-0.123604,-0.150602
165,-0.299382,-0.199187,-0.184252,-0.200751
166,-3.75631,-1.78846,-1.91676,-1.81985
167,-0.594487,-1.1631,-1.18027,-1.16085
168,2.658,0.612329,0.580974,0.651051
169,-0.284833,0.178667,0.226516,0.211286
170,2.01324,0.994563,1.0148,1.03448
171,1.88696,1.34648,1.34568,1.39211
172,2.35273,1.73215,1.74195,1.74493
173,1.28693,1.44619,1.44761,1.42742
174,2.24695,1.73453,1.76313,1.70106
175,0.639344,1.15625,1.14786,1.12428
176,0.337142,0.730734,0.748649,0.750468
177,1.6398,1.10321,1.11622,1.13198
178,-1.13962,0.0402772,0.0510176,0.0714042
179,-0.316624,-0.122166,-0.112049,-0.0944706
180,-2.5128,-1.19085,-1.2232,-1.23797
181,2.92261,0.71739,0.774738,0.702215
182,-0.81458,-0.00685959,0.00375822,-0.0542455
183,-0.667781,-0.303643,-0.281077,-0.278449
184,-2.74368,-1.38554,-1.40875,-1.38973
185,0.352174,-0.535696,-0.548894,-0.556796
186,0.662422,0.0294664,0.0233733,0.00489547
187,-0.303009,-0.121461,-0.162398,-0.213994
188,4.19242,1.8239,1.67478,1.78377
189,-0.11419,0.86226,0.87642,0.833312
190,1.40221,1.06228,1.06586,1.05397
191,-0.476684,0.317802,0.324831,0.289103
192,0.634505,0.444435,0.490654,0.415339
193,-2.14449,-0.741458,-0.759969,-0.728633
194,-2.69015,-1.58078,-1.62701,-1.61316
195,-5.20779,-3.13302,-3.15843,-3.22405
196,-1.17601,-2.09802,-2.0975,-2.10248
197,-3.28426,-2.52737,-2.6467,-2.47363
198,-0.0501045,-1.28849,-1.41308,-1.27645
199,-4.80042,-2.80348,-2.88112,-2.72428

